date,SPY,TLT,GLD,BTC-USD
2023-11-22,441.045197,81.813599,184.559998,37432.339844
2023-11-24,441.316589,80.850243,185.520004,37720.281250
2023-11-27,440.521851,82.200706,186.770004,37254.167969
2023-11-28,440.958008,82.362793,189.259995,37831.085938
2023-11-29,440.647797,83.398178,189.539993,37858.492188
2023-11-30,442.382843,82.434807,188.750000,37712.746094
2023-12-01,444.999908,83.987389,192.009995,38688.750000
2023-12-04,442.663879,83.653221,187.860001,41980.097656
2023-12-05,442.576691,85.450569,187.149994,44080.648438
2023-12-06,440.793213,86.588577,187.839996,43746.445312
2023-12-07,444.156647,86.091820,188.149994,43292.664062
2023-12-08,446.066162,85.387344,185.639999,44166.601562
2023-12-11,447.801117,85.206703,183.589996,41243.832031
2023-12-12,449.846344,85.459618,183.490005,41450.222656
2023-12-13,456.049774,87.464691,187.630005,42890.742188
2023-12-14,457.513458,89.739891,188.729996,43023.972656
2023-12-15,456.760162,89.839546,187.000000,41929.757812
2023-12-18,459.329468,89.123734,187.850006,42623.539062
2023-12-19,462.122559,89.603989,189.130005,42270.527344
2023-12-20,455.718781,90.211037,188.100006,43652.250000
2023-12-21,460.039886,89.640198,189.429993,43869.152344
2023-12-22,460.964417,89.232475,190.270004,43997.902344
2023-12-26,462.910828,89.486183,191.720001,42520.402344
2023-12-27,463.747833,91.071838,192.589996,43442.855469
2023-12-28,463.923004,90.410408,191.470001,42627.855469
2023-12-29,462.579956,89.594887,191.169998,42099.402344
2024-01-02,459.991241,89.078445,190.720001,44957.968750
2024-01-03,456.234589,89.449913,189.130005,42848.175781
2024-01-04,454.765106,88.090782,189.320007,44179.921875
2024-01-05,455.387878,87.248116,189.350006,44162.691406
2024-01-08,461.889008,88.108925,187.869995,46970.503906
2024-01-09,461.188293,87.547134,187.929993,46139.730469
2024-01-10,463.796478,87.139366,187.500000,46627.777344
2024-01-11,463.592102,87.628670,187.869995,46368.585938
2024-01-12,463.913239,87.456520,189.710007,42853.167969
2024-01-16,462.210144,85.916153,187.910004,43154.945312
2024-01-17,459.640869,85.780228,185.839996,42742.652344
2024-01-18,463.728363,84.982872,187.369995,41262.058594
2024-01-19,469.509308,85.254692,187.929993,41618.406250
2024-01-22,470.501984,85.762131,187.220001,39507.367188
2024-01-23,471.874176,85.082542,187.949997,39845.550781
2024-01-24,472.389984,84.584175,186.399994,40077.074219
2024-01-25,474.959290,85.136917,187.139999,39933.808594
2024-01-26,474.355896,84.973808,187.009995,41816.871094
2024-01-29,478.112518,85.952377,188.330002,43288.246094
2024-01-30,477.742737,86.731628,188.589996,42952.609375
2024-01-31,469.947235,87.583374,188.449997,42582.605469
2024-02-01,476.097992,89.301399,190.410004,43075.773438
2024-02-02,481.110107,87.328857,188.610001,43185.859375
2024-02-05,479.358246,85.565353,187.570007,42658.667969
2024-02-06,480.749969,86.401665,188.550003,43084.671875
2024-02-07,484.759583,85.983513,188.500000,44318.222656
2024-02-08,484.973694,85.483559,188.330002,45301.566406
2024-02-09,487.776611,85.310837,187.600006,47147.199219
2024-02-12,487.562500,85.410851,187.110001,49958.222656
2024-02-13,480.847260,83.947304,184.529999,49742.441406
2024-02-14,485.217010,84.374565,184.419998,51826.695312
2024-02-15,488.564911,84.810913,185.660004,51938.554688
2024-02-16,486.131866,84.320015,186.339996,52160.203125
2024-02-20,483.455536,84.392723,187.470001,52284.875000
2024-02-21,483.893402,83.792786,187.479996,51839.179688
2024-02-22,493.907837,84.201843,187.559998,51304.972656
2024-02-23,494.248474,85.329025,188.619995,50731.949219
2024-02-26,492.438263,85.074486,188.199997,54522.402344
2024-02-27,493.353119,84.474541,188.000000,57085.371094
2024-02-28,492.701050,85.010857,188.339996,62504.789062
2024-02-29,494.472321,85.610832,189.309998,61198.382812
2024-03-01,499.114563,86.144264,192.889999,62440.632812
2024-03-04,498.579224,85.797752,196.009995,68330.414062
2024-03-05,493.596436,87.019646,197.190002,63801.199219
2024-03-06,496.097626,87.530289,198.809998,66106.804688
2024-03-07,501.022064,87.448242,199.940002,66925.484375
2024-03-08,498.014801,87.293221,201.630005,68300.093750
2024-03-11,497.586609,87.247627,202.000000,72123.906250
2024-03-12,502.939362,86.518143,199.789993,71481.289062
2024-03-13,502.150970,86.098671,201.190002,73083.500000
